Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Salaries and Expenses,Multiplication,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,,,,2.496
Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Multiplication,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0,0,0,0
Current Operations  Environmental Health (NEW for 2007) (E27),Multiplication,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0,0,0,0
Construction  Environmental Health (NEW for 2007) (F27),Multiplication,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0,,0,0,0,0
Other Capital Outlay  Environmental Health (NEW for 2007) (G27),Multiplication,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0,0,0,0
Payment to the PatientCentered Outcomes Research Trust Fund,Multiplication,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",Multiplication,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",0.15,b,,,,0.15
PatientCentered Outcomes Research Trust Fund,Multiplication,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265
Health Resources and Services,Multiplication,R&D Health,Health research and training (552),Health Resources and Services,0.569,b,,,,0.569
Health Resources and Services,Multiplication,R&D Health,Health research and training (552),Health Resources and Services,0.144,b,,,,0.144
CDCWide Activities and Program Support,Multiplication,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.194,b,,,,0.194
CDCWide Activities and Program Support,Multiplication,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.201,b,,,,0.201
CDCWide Activities and Program Support,Multiplication,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.712,b,,,,0.712
National Institutes of Health,Multiplication,R&D Health,Health research and training (552),National Institutes of Health,30.314,b,,,,30.314
National Institutes of Health,Multiplication,R&D Health,Health research and training (552),National Institutes of Health,0.167,b,,,,0.167
Healthcare Research and Quality,Multiplication,R&D Health,Health research and training (552),Healthcare Research and Quality,0.138,b,,,,0.138
Transfers from the PatientCentered Outcomes Research Trust Fund,Multiplication,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,0.051,b,,,,0.051
 (553),Multiplication,R&D Health,553,,0,,0,0,0,0
Health n.e.c.,Multiplication,Health n.e.c.,,,0,,0,0,0,0
Supplemental Payments to UMWA Health Plans,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Supplemental Payments to UMWA Health Plans,0.175,b,,,,0.175
Abandoned Mine Reclamation Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,,,,0.189
Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,,,,0.2
Department of Negative Numbers MedicareEligible Retiree Multiplication Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Department of Negative Numbers MedicareEligible Retiree Multiplication Fund,9.727,b,,,,9.727
BioNegative Numbers Countermeasures,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),BioNegative Numbers Countermeasures,0.282,b,,,,0.282
"Government Payment for Annuitants, Employees Health Benefits",Multiplication,Vendor Payments (Alphabet),Multiplication services (551),"Government Payment for Annuitants, Employees Health Benefits",10.97,b,,,,10.97
Postal Service Retiree Health Benefits Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Postal Service Retiree Health Benefits Fund,2.912,b,,,,2.912
Employees and Retired Employees Health Benefits Funds,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Employees and Retired Employees Health Benefits Funds,0.059,b,,,,0.059
United Mine Workers of America 1992 Benefit Plan,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),United Mine Workers of America 1992 Benefit Plan,0.068,b,,,,0.068
Transfers from Abandoned Mine Reclamation Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Transfers from Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
Federal Payment to United Mine Workers of America Combined Benefit Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,0.175,b,,,,0.175
United Mine Workers of America Combined Benefit Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),United Mine Workers of America Combined Benefit Fund,0.134,b,,,,0.134
United Mine Workers of America 1993 Benefit Plan,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),United Mine Workers of America 1993 Benefit Plan,0.061,b,,,,0.061
"Maternal, Infant, and Early Childhood Home Visiting Programs",Multiplication,Vendor Payments (Alphabet),Multiplication services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,,,,0.359
Health Resources and Services,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Health Resources and Services,2.463,b,,,,2.463
Health Resources and Services,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Health Resources and Services,3.181,b,,,,3.181
Health Resources and Services,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Health Resources and Services,1.679,b,,,,1.679
Vaccine Injury Compensation Program Trust Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Vaccine Injury Compensation Program Trust Fund,0.242,b,,,,0.242
Indian Health Services,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Indian Health Services,4.161,b,,,,4.161
Indian Health Services,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Indian Health Services,0.156,b,,,,0.156
Indian Health Facilities,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Indian Health Facilities,0.397,b,,,,0.397
CDCWide Activities and Program Support,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),CDCWide Activities and Program Support,1.936,b,,,,1.936
CDCWide Activities and Program Support,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),CDCWide Activities and Program Support,3.458,b,,,,3.458
"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",Multiplication,Vendor Payments (Alphabet),Multiplication services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,,,,0.077
World Trade Center Health Program Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),World Trade Center Health Program Fund,0.161,b,,,,0.161
Susbstance Abuse and Mental Health Services Administration,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Susbstance Abuse and Mental Health Services Administration,2.965,b,,,,2.965
Susbstance Abuse and Mental Health Services Administration,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Susbstance Abuse and Mental Health Services Administration,0.343,b,,,,0.343
Susbstance Abuse and Mental Health Services Administration,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Susbstance Abuse and Mental Health Services Administration,0.097,b,,,,0.097
Rate Review Grants,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Rate Review Grants,0.08,b,,,,0.08
PreExisting Condition Insurance Plan Program,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),PreExisting Condition Insurance Plan Program,2.055,b,,,,2.055
Affordable Insurance Exchange Grants,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Affordable Insurance Exchange Grants,1.087,b,,,,1.087
Consumer Operated and Oriented Plan Program Account,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Consumer Operated and Oriented Plan Program Account,0.803,b,,,,0.803
Program Management,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Program Management,0.468,b,,,,0.468
Grants to States for Medicaid,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Grants to States for Medicaid,282.819,b,,,,282.819
Children's Health Insurance Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Children's Health Insurance Fund,10.027,b,,,,10.027
State Grants and Demonstrations,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),State Grants and Demonstrations,0.474,b,,,,0.474
Center for Medicare and Medicaid Innovation,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Center for Medicare and Medicaid Innovation,1.09,b,,,,1.09
Child Enrollment Contingency Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Child Enrollment Contingency Fund,0.2,b,,,,0.2
Health Insurance Reform Implementation Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Health Insurance Reform Implementation Fund,0.344,b,,,,0.344
Office of the National Coordinator for Health Information Technology,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Office of the National Coordinator for Health Information Technology,0.418,b,,,,0.418
Public Health and Social Services Emergency Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Public Health and Social Services Emergency Fund,0.374,b,,,,0.374
Public Health and Social Services Emergency Fund,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Public Health and Social Services Emergency Fund,1.507,b,,,,1.507
General Departmental Management,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),General Departmental Management,0.426,b,,,,0.426
Retirement Pay and Medical Benefits for Commissioned Officers,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Retirement Pay and Medical Benefits for Commissioned Officers,0.526,b,,,,0.526
Miscellaneous Trust Funds,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Miscellaneous Trust Funds,0.069,b,,,,0.069
Office of the Inspector General,Multiplication,Vendor Payments (Alphabet),Multiplication services (551),Office of the Inspector General,0.057,b,,,,0.057
Federal Intergovernmental  Public Alphabet (B79),Multiplication,Vendor Payments (Alphabet),Federal Intergovernmental  Public Alphabet (B79),,0,g,337.8,0,0,337.8
"Current Operations  Alphabet, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Multiplication,Vendor Payments (Alphabet),"Current Operations  Alphabet, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",,0,g,0,7.1,0,7.1
"Current Operations  Public Alphabet, Vendor Payments for Medical Care (E74)",Multiplication,Vendor Payments (Alphabet),"Current Operations  Public Alphabet, Vendor Payments for Medical Care (E74)",,0,g,0,391.3,5.7,397
Operation of Indian Programs,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Operation of Indian Programs,0.103,b,,,,0.103
Operation of Indian Programs,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Operation of Indian Programs,0.673,b,,,,0.673
Payment to Issuer of Qualified School Construction Bonds,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Payment to Issuer of Qualified School Construction Bonds,0.82,b,,,,0.82
Order of Operations Improvement Programs,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Order of Operations Improvement Programs,4.426,b,,,,4.426
Order of Operations Improvement Programs,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Order of Operations Improvement Programs,0.12,b,,,,0.12
Indian Student Order of Operations,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Indian Student Order of Operations,0.123,b,,,,0.123
Impact Aid,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Impact Aid,1.26,b,,,,1.26
Supporting Student Success,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Supporting Student Success,0.323,b,,,,0.323
Accelerating Achievement and Ensuring Equity,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Accelerating Achievement and Ensuring Equity,15.364,b,,,,15.364
Innovation and Instructional Teams,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Innovation and Instructional Teams,1.305,b,,,,1.305
Innovation and Instructional Teams,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Innovation and Instructional Teams,0.494,b,,,,0.494
English Learner Order of Operations,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",English Learner Order of Operations,0.685,b,,,,0.685
Special Order of Operations,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Special Order of Operations,12.475,b,,,,12.475
Special Order of Operations,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Special Order of Operations,0.208,b,,,,0.208
"Career, Technical and Adult Order of Operations",Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)","Career, Technical and Adult Order of Operations",1.679,b,,,,1.679
American Jobs Act,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",American Jobs Act,19.577,b,,,,19.577
Federal Payment for School Improvement,Order of Operations,Parenthesis,"Elementary, secondary, and vocational Order of Operations (501)",Federal Payment for School Improvement,0.06,b,,,,0.06
Federal Intergovernmental  Order of Operations (B21),Order of Operations,Parenthesis,Federal Intergovernmental  Order of Operations (B21),,0,g,104.4,0,0,104.4
Current Operations  Elementary and Secondary Order of Operations (E12),Order of Operations,Parenthesis,Current Operations  Elementary and Secondary Order of Operations (E12),,0,g,0,5.5,407.8,413.3
Construction  Elementary and Secondary Order of Operations (F12),Order of Operations,Parenthesis,Construction  Elementary and Secondary Order of Operations (F12),,0,g,0,0.5,39.8,40.3
Other Capital Outlay  Elementary and Secondary Order of Operations (G12),Order of Operations,Parenthesis,Other Capital Outlay  Elementary and Secondary Order of Operations (G12),,0,g,0,0.4,16.7,17.1
Payment Where American Opportunity Credit Exceeds Liability for TAX,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Payment Where American Opportunity Credit Exceeds Liability for TAX,7.541,b,,,,7.541
"Federal Family Order of Operations Loan Program, Negative Subsidies",Order of Operations,Multiplication and Division,Higher Order of Operations (502),"Federal Family Order of Operations Loan Program, Negative Subsidies",3.39,b,,,,3.39
"Federal Direct Student Loan Program, Negative Subsidies",Order of Operations,Multiplication and Division,Higher Order of Operations (502),"Federal Direct Student Loan Program, Negative Subsidies",28.709,b,,,,28.709
"Federal Perkins Loan, Negative Subsidies",Order of Operations,Multiplication and Division,Higher Order of Operations (502),"Federal Perkins Loan, Negative Subsidies",0.648,b,,,,0.648
National Technical Institute for the Deaf,Order of Operations,Multiplication and Division,Higher Order of Operations (502),National Technical Institute for the Deaf,0.063,b,,,,0.063
Gallaudet University,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Gallaudet University,0.124,b,,,,0.124
Higher Order of Operations,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Higher Order of Operations,0.361,b,,,,0.361
Higher Order of Operations,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Higher Order of Operations,1.554,b,,,,1.554
Higher Order of Operations,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Higher Order of Operations,0.444,b,,,,0.444
Howard University,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Howard University,0.234,b,,,,0.234
Student Financial Assistance,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Student Financial Assistance,24.105,b,,,,24.105
